商品代碼,商品名稱,時間,成交價,漲跌,單量,開盤價,最高價,最低價,成交量,買價,賣價,理論價,漲停價,跌停價,資料更新日期,買價1,買價2,買價3,買價4,買價5,賣價1,賣價2,賣價3,賣價4,賣價5,委買量1,委買量2,委買量3,委買量4,委買量5,委賣量1,委賣量2,委賣量3,委賣量4,委賣量5
TXFH8,台指期08,5628,10929,-10,1,10948,10967,10918,17860,10928,10929,11042.51,12032,9846,20180730,10928,10927,10926,10925,10924,10929,10930,10931,10932,10933,13,19,12,16,17,1,14,12,27,18
TXFH8,台指期08,5631,10927,-12,10,10948,10967,10918,17880,10928,10929,11042.51,12032,9846,20180730,10928,10927,10926,10925,10924,10929,10930,10931,10932,10933,1,9,12,17,16,15,14,12,28,18
TXFH8,台指期08,5631,10928,-11,1,10948,10967,10918,17881,10926,10928,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10928,10929,10930,10931,10932,9,12,16,22,16,26,24,18,12,22
TXFH8,台指期08,5633,10928,-11,4,10948,10967,10918,17885,10926,10928,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10928,10929,10930,10931,10932,11,12,16,23,16,23,24,19,12,22
TXFH8,台指期08,5634,10928,-11,1,10948,10967,10918,17886,10926,10928,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10928,10929,10930,10931,10932,10,12,17,17,16,13,24,14,12,22
TXFH8,台指期08,5637,10928,-11,1,10948,10967,10918,17887,10927,10928,11042.51,12032,9846,20180730,10927,10926,10925,10924,10923,10928,10929,10930,10931,10932,1,16,11,22,17,18,24,14,17,22
TXFH8,台指期08,5638,10928,-11,3,10948,10967,10918,17890,10927,10928,11042.51,12032,9846,20180730,10927,10926,10925,10924,10923,10928,10929,10930,10931,10932,1,16,11,22,17,14,24,14,17,22
TXFH8,台指期08,5638,10928,-11,1,10948,10967,10918,17891,10927,10928,11042.51,12032,9846,20180730,10927,10926,10925,10924,10923,10928,10929,10930,10931,10932,2,16,11,20,17,12,24,14,17,22
TXFH8,台指期08,5641,10926,-13,3,10948,10967,10918,17896,10926,10928,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10928,10929,10930,10931,10932,15,12,20,16,16,20,24,14,17,23
TXFH8,台指期08,5655,10926,-13,1,10948,10967,10918,17897,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,3,12,14,22,16,13,22,27,19,12
TXFH8,台指期08,5700,10926,-13,1,10948,10967,10918,17898,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,6,12,18,22,16,23,22,27,20,12
TXFH8,台指期08,5710,10927,-12,2,10948,10967,10918,17900,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,18,12,19,21,15,8,22,27,22,12
TXFH8,台指期08,5712,10927,-12,6,10948,10967,10918,17906,10926,10928,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10928,10929,10930,10931,10932,25,12,19,21,15,20,27,22,12,23
TXFH8,台指期08,5724,10926,-13,1,10948,10967,10918,17907,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,17,12,20,21,15,9,22,30,26,12
TXFH8,台指期08,5727,10927,-12,1,10948,10967,10918,17908,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,17,12,20,21,15,9,22,30,26,12
TXFH8,台指期08,5757,10926,-13,1,10948,10967,10918,17909,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,9,13,19,22,15,20,21,32,27,12
TXFH8,台指期08,5802,10927,-12,2,10948,10967,10918,17911,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,6,13,19,20,15,20,21,32,27,12
TXFH8,台指期08,5806,10926,-13,1,10948,10967,10918,17912,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,4,13,19,20,15,21,21,27,27,12
TXFH8,台指期08,5812,10926,-13,1,10948,10967,10918,17913,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,4,13,19,20,15,21,16,27,28,12
TXFH8,台指期08,5814,10926,-13,1,10948,10967,10918,17914,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,3,13,19,20,15,22,16,27,28,12
TXFH8,台指期08,5815,10926,-13,1,10948,10967,10918,17915,10926,10927,11042.51,12032,9846,20180730,10926,10925,10924,10923,10922,10927,10928,10929,10930,10931,2,13,19,20,15,22,16,27,28,12
