MXFH8,小台指08,202103,10993,3,2,10982,10996,10981,3936,10993,10994,11065.97,12089,9891,20180731,10993,10992,10991,10990,10989,10994,10995,10996,10997,10998,37,120,77,85,62,45,118,81,57,86
MXFH8,小台指08,202131,10993,3,1,10982,10996,10981,3937,10993,10994,11065.97,12089,9891,20180731,10993,10992,10991,10990,10989,10994,10995,10996,10997,10998,42,119,78,86,62,41,118,81,57,86
MXFH8,小台指08,202210,10993,3,7,10982,10996,10981,3944,10992,10994,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10994,10995,10996,10997,10998,70,88,82,66,73,70,128,71,61,82
MXFH8,小台指08,202210,10992,2,2,10982,10996,10981,3946,10992,10993,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10993,10994,10995,10996,10997,34,109,82,66,73,16,111,107,71,61
MXFH8,小台指08,202215,10993,3,1,10982,10996,10981,3947,10992,10993,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10993,10994,10995,10996,10997,16,119,82,66,73,19,111,97,75,57
MXFH8,小台指08,202221,10993,3,2,10982,10996,10981,3949,10992,10993,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10993,10994,10995,10996,10997,17,119,82,66,73,17,111,97,75,57
MXFH8,小台指08,202336,10993,3,1,10982,10996,10981,3950,10992,10993,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10993,10994,10995,10996,10997,100,95,82,66,73,1,67,118,71,62
MXFH8,小台指08,202404,10993,3,1,10982,10996,10981,3951,10992,10994,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10994,10995,10996,10997,10998,100,95,82,66,73,67,118,71,62,82
MXFH8,小台指08,202411,10993,3,1,10982,10996,10981,3952,10992,10994,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10994,10995,10996,10997,10998,100,85,82,66,73,57,118,71,62,82
MXFH8,小台指08,202416,10992,2,1,10982,10996,10981,3953,10992,10994,11065.97,12089,9891,20180731,10992,10991,10990,10989,10988,10994,10995,10996,10997,10998,99,85,82,66,73,57,118,71,62,82
MXFH8,小台指08,202441,10993,3,1,10982,10996,10981,3954,10993,10994,11065.97,12089,9891,20180731,10993,10992,10991,10990,10989,10994,10995,10996,10997,10998,5,124,85,82,66,51,118,71,62,82
